TIME(s)	'pip2,ap2'	'ap2,clat'	'clat,clat'	Nloops	nOverlapPartner	nOverlapSystem	nOverlapSpanBox	nDisplace2D	nDisplace3D	nDisplace3Dto2D	nAssocSuccess
3.75	158	1	13	0	0	0	0	0	0	0	995
3.765	163	1	11	0	0	0	0	0	0	0	1001
3.78	164	1	9	0	0	0	0	0	0	0	1003
3.795	165	1	10	0	0	0	0	0	0	0	1006
3.81	165	1	11	0	0	0	0	0	0	0	1007
3.825	167	1	10	0	0	0	0	0	0	0	1013
3.84	164	1	12	0	0	0	0	0	0	0	1015
3.855	164	1	11	0	0	0	0	0	0	0	1016
3.87	164	1	11	0	0	0	0	0	0	0	1020
3.885	163	1	8	0	0	0	0	0	0	0	1024
3.9	160	1	10	0	0	0	0	0	0	0	1029
3.915	160	1	12	0	0	0	0	0	0	0	1032
3.93	161	1	11	0	0	0	0	0	0	0	1034
3.945	159	1	10	0	0	0	0	0	0	0	1034
3.96	156	1	8	0	0	0	0	0	0	0	1036
3.975	155	1	10	0	0	0	0	0	0	0	1040
3.99	157	1	10	0	0	0	0	0	0	0	1045
4.005	159	1	8	0	0	0	0	0	0	0	1049
4.02	158	1	9	0	0	0	0	0	0	0	1053
4.035	160	1	11	0	0	0	0	0	0	0	1059
4.05	162	1	10	0	0	0	0	0	0	0	1062
4.065	160	1	10	0	0	0	0	0	0	0	1068
4.08	160	1	10	0	0	0	0	0	0	0	1070
4.095	161	1	12	0	0	0	0	0	0	0	1074
4.11	162	1	12	0	0	0	0	0	0	0	1077
4.125	162	1	11	0	0	0	0	0	0	0	1079
4.14	162	1	9	0	0	0	0	0	0	0	1085
4.155	161	1	9	0	0	0	0	0	0	0	1088
4.17	162	1	11	0	0	0	0	0	0	0	1094
4.185	163	1	9	0	0	0	0	0	0	0	1097
4.2	163	1	12	0	0	0	0	0	0	0	1102
4.215	162	1	13	0	0	0	0	0	0	0	1106
4.23	163	1	10	0	0	0	0	0	0	0	1109
4.245	161	1	9	0	0	0	0	0	0	0	1110
4.26	161	1	8	0	0	0	0	0	0	0	1112
4.275	162	1	7	0	0	0	0	0	0	0	1115
4.29	158	1	7	0	0	0	0	0	0	0	1116
4.305	156	1	7	0	0	0	0	0	0	0	1118
4.32	157	1	5	0	0	0	0	0	0	0	1120
4.335	155	1	5	0	0	0	0	0	0	0	1121
4.35	157	1	5	0	0	0	0	0	0	0	1129
4.365	156	1	6	0	0	0	0	0	0	0	1131
4.38	157	1	5	0	0	0	0	0	0	0	1136
4.395	159	1	6	0	0	0	0	0	0	0	1142
4.41	156	1	4	0	0	0	0	0	0	0	1143
4.425	157	1	5	0	0	0	0	0	0	0	1148
4.44	156	1	6	0	0	0	0	0	0	0	1150
4.455	158	1	6	0	0	0	0	0	0	0	1155
4.47	155	1	6	0	0	0	0	0	0	0	1156
4.485	153	1	8	0	0	0	0	0	0	0	1160
4.5	152	1	10	0	0	0	0	0	0	0	1164
4.515	152	1	11	0	0	0	0	0	0	0	1170
4.53	154	1	10	0	0	0	0	0	0	0	1176
4.545	154	1	12	0	0	0	0	0	0	0	1180
4.56	156	1	10	0	0	0	0	0	0	0	1183
4.575	155	1	9	0	0	0	0	0	0	0	1187
4.59	157	1	10	0	0	0	0	0	0	0	1193
4.605	157	1	9	0	0	0	0	0	0	0	1194
4.62	160	1	10	0	0	0	0	0	0	0	1200
4.635	158	1	11	0	0	0	0	0	0	0	1204
4.65	161	1	8	0	0	0	0	0	0	0	1209
4.665	161	1	7	0	0	0	0	0	0	0	1210
4.68	161	1	6	0	0	0	0	0	0	0	1213
4.695	159	1	3	0	0	0	0	0	0	0	1214
4.71	159	1	4	0	0	0	0	0	0	0	1217
4.725	158	1	6	0	0	0	0	0	0	0	1220
4.74	160	1	7	0	0	0	0	0	0	0	1224
4.755	159	1	8	0	0	0	0	0	0	0	1227
4.77	158	1	8	0	0	0	0	0	0	0	1231
4.785	159	1	8	0	0	0	0	0	0	0	1234
4.8	153	1	7	0	0	0	0	0	0	0	1234
4.815	154	1	13	0	0	0	0	0	0	0	1244
4.83	158	1	14	0	0	0	0	0	0	0	1249
4.845	159	1	14	0	0	0	0	0	0	0	1254
4.86	158	1	12	0	0	0	0	0	0	0	1259
4.875	160	1	15	0	0	0	0	0	0	0	1266
4.89	163	1	14	0	0	0	0	0	0	0	1273
4.905	164	1	11	0	0	0	0	0	0	0	1275
4.92	164	1	11	0	0	0	0	0	0	0	1277
4.935	165	1	10	0	0	0	0	0	0	0	1282
4.95	165	1	9	0	0	0	0	0	0	0	1284
4.965	165	1	8	0	0	0	0	0	0	0	1285
4.98	163	1	7	0	0	0	0	0	0	0	1288
4.995	162	1	5	0	0	0	0	0	0	0	1289
5.01	162	1	5	0	0	0	0	0	0	0	1292
5.025	161	1	5	0	0	0	0	0	0	0	1295
5.04	159	1	6	0	0	0	0	0	0	0	1298
5.055	159	1	6	0	0	0	0	0	0	0	1302
5.07	160	1	6	0	0	0	0	0	0	0	1306
5.085	161	1	6	0	0	0	0	0	0	0	1310
5.1	162	1	6	0	0	0	0	0	0	0	1312
5.115	161	1	6	0	0	0	0	0	0	0	1315
5.13	159	1	10	0	0	0	0	0	0	0	1320
5.145	157	1	9	0	0	0	0	0	0	0	1322
5.16	158	1	11	0	0	0	0	0	0	0	1328
5.175	159	1	12	0	0	0	0	0	0	0	1333
5.19	161	1	11	0	0	0	0	0	0	0	1336
5.205	161	1	10	0	0	0	0	0	0	0	1337
5.22	163	1	10	0	0	0	0	0	0	0	1339
5.235	163	1	9	0	0	0	0	0	0	0	1340
5.25	163	1	7	0	0	0	0	0	0	0	1343
5.265	163	1	5	0	0	0	0	0	0	0	1346
5.28	163	1	6	0	0	0	0	0	0	0	1349
5.295	163	1	5	0	0	0	0	0	0	0	1352
5.31	164	1	4	0	0	0	0	0	0	0	1354
5.325	159	1	4	0	0	0	0	0	0	0	1357
5.34	161	1	8	0	0	0	0	0	0	0	1367
5.355	160	1	8	0	0	0	0	0	0	0	1370
5.37	157	1	8	0	0	0	0	0	0	0	1374
5.385	157	1	8	0	0	0	0	0	0	0	1377
5.4	160	1	10	0	0	0	0	0	0	0	1383
5.415	162	1	13	0	0	0	0	0	0	0	1388
5.43	162	1	12	0	0	0	0	0	0	0	1390
5.445	162	1	11	0	0	0	0	0	0	0	1395
5.46	161	1	10	0	0	0	0	0	0	0	1395
5.475	160	1	10	0	0	0	0	0	0	0	1398
5.49	158	1	10	0	0	0	0	0	0	0	1402
5.505	161	1	10	0	0	0	0	0	0	0	1407
5.52	161	1	9	0	0	0	0	0	0	0	1407
5.535	163	1	8	0	0	0	0	0	0	0	1410
5.55	160	1	7	0	0	0	0	0	0	0	1412
5.565	159	1	8	0	0	0	0	0	0	0	1415
5.58	159	1	10	0	0	0	0	0	0	0	1421
5.595	157	1	10	0	0	0	0	0	0	0	1424
