Time (s): 0
10	A: 3. 
5	A: 5. 
3	A: 1. F: 1. 
48	F: 1. 
6	A: 6. 
2	A: 4. F: 2. 
5	A: 4. 
7	A: 1. 
4	A: 3. F: 3. 
2	A: 2. F: 1. 
5	A: 2. F: 2. 
2	A: 3. F: 2. 
1	A: 6. F: 1. 
2	A: 3. F: 1. 
1	A: 5. F: 5. 
1	A: 5. F: 2. 
1	A: 5. F: 4. 
Time (s): 0.082
2	A: 4. F: 3. 
4	A: 2. 
10	A: 3. 
4	A: 5. 
3	A: 1. F: 1. 
43	F: 1. 
6	A: 6. 
1	A: 4. F: 2. 
5	A: 4. 
7	A: 1. 
4	A: 3. F: 3. 
2	A: 2. F: 1. 
5	A: 2. F: 2. 
2	A: 3. F: 2. 
1	A: 6. F: 1. 
2	A: 3. F: 1. 
1	A: 5. F: 5. 
1	A: 5. F: 2. 
2	A: 5. F: 4. 
Time (s): 0.083
2	A: 4. F: 3. 
4	A: 2. 
10	A: 3. 
4	A: 5. 
3	A: 1. F: 1. 
43	F: 1. 
6	A: 6. 
1	A: 4. F: 2. 
5	A: 4. 
7	A: 1. 
4	A: 3. F: 3. 
2	A: 2. F: 1. 
5	A: 2. F: 2. 
2	A: 3. F: 2. 
1	A: 6. F: 1. 
2	A: 3. F: 1. 
1	A: 5. F: 5. 
1	A: 5. F: 2. 
2	A: 5. F: 4. 
Time (s): 0.084
2	A: 4. F: 3. 
4	A: 2. 
10	A: 3. 
4	A: 5. 
3	A: 1. F: 1. 
43	F: 1. 
6	A: 6. 
1	A: 4. F: 2. 
5	A: 4. 
7	A: 1. 
4	A: 3. F: 3. 
2	A: 2. F: 1. 
