Time (s),A(lg1),A(lg2),A(lg3),A(lg4),A(lg5),B(lg1),B(lg2),B(lg3),B(lg4),B(lg5),A(lg1!1).A(lg1!1),A(lg2!1).A(lg2!1),A(lg3!1).A(lg3!1),A(lg4!1).A(lg4!1),A(lg5!1).A(lg5!1),A(lg1!1).A(lg2!1),A(lg1!1).A(lg3!1),A(lg1!1).A(lg4!1),A(lg1!1).A(lg5!1),A(lg2!1).A(lg3!1),A(lg2!1).A(lg4!1),A(lg2!1).A(lg5!1),A(lg3!1).A(lg4!1),A(lg3!1).A(lg5!1),A(lg4!1).A(lg5!1),B(lg1!1).B(lg1!1),B(lg2!1).B(lg2!1),B(lg3!1).B(lg3!1),B(lg4!1).B(lg4!1),B(lg5!1).B(lg5!1),B(lg1!1).B(lg2!1),B(lg1!1).B(lg3!1),B(lg1!1).B(lg4!1),B(lg1!1).B(lg5!1),B(lg2!1).B(lg3!1),B(lg2!1).B(lg4!1),B(lg2!1).B(lg5!1),B(lg3!1).B(lg4!1),B(lg3!1).B(lg5!1),B(lg4!1).B(lg5!1),A(lg1!1).B(lg1!1),A(lg1!1).B(lg2!1),A(lg1!1).B(lg3!1),A(lg1!1).B(lg4!1),A(lg1!1).B(lg5!1),A(lg2!1).B(lg1!1),A(lg2!1).B(lg2!1),A(lg2!1).B(lg3!1),A(lg2!1).B(lg4!1),A(lg2!1).B(lg5!1),A(lg3!1).B(lg1!1),A(lg3!1).B(lg2!1),A(lg3!1).B(lg3!1),A(lg3!1).B(lg4!1),A(lg3!1).B(lg5!1),A(lg4!1).B(lg1!1),A(lg4!1).B(lg2!1),A(lg4!1).B(lg3!1),A(lg4!1).B(lg4!1),A(lg4!1).B(lg5!1),A(lg5!1).B(lg1!1),A(lg5!1).B(lg2!1),A(lg5!1).B(lg3!1),A(lg5!1).B(lg4!1),A(lg5!1).B(lg5!1)
0.056,31,41,33,36,30,37,38,38,42,32,2,3,6,5,4,6,8,7,13,4,6,11,7,7,10,6,4,2,4,5,2,6,10,4,4,9,6,8,15,6,7,7,5,5,7,8,7,2,5,4,4,7,6,4,8,7,6,4,2,5,3,6,8,1,3
0.057,31,41,33,36,30,37,38,38,42,32,2,3,6,5,4,6,8,7,13,4,6,11,7,7,10,6,4,2,4,5,2,6,10,4,4,9,6,8,15,6,7,7,5,5,7,8,7,2,5,4,4,7,6,4,8,7,6,4,2,5,3,6,8,1,3
0.058,31,41,33,36,30,37,38,38,42,32,2,3,6,5,4,6,8,7,13,4,6,11,7,7,10,6,4,2,4,5,2,6,10,4,4,9,6,8,15,6,7,7,5,5,7,8,7,2,5,4,4,7,6,4,8,7,6,4,2,5,3,6,8,1,3
0.059,31,41,33,36,30,34,35,38,42,28,2,3,6,5,4,6,8,7,13,4,6,11,7,7,10,6,4,2,4,5,3,6,10,6,4,9,8,8,15,6,7,7,5,5,7,8,7,2,5,4,4,7,6,4,8,7,6,4,2,5,3,6,8,1,3
0.06,31,41,33,36,30,34,35,38,42,28,2,3,6,5,4,6,8,7,13,4,6,11,7,7,10,6,4,2,4,5,3,6,10,6,4,9,8,8,15,6,7,7,5,5,7,8,7,2,5,4,4,7,6,4,8,7,6,4,2,5,3,6,8,1,3
0.061,31,41,33,36,30,34,35,38,42,28,2,3,6,5,4,6,8,7,13,4,6,11,7,7,10,6,4,2,4,5,3,6,10,6,4,9,8,8,15,6,7,7,5,5,7,8,7,2,5,4,4,7,6,4,8,7,6,4,2,5,3,6,8,1,3
0.062,31,41,33,36,30,34,35,38,42,28,2,3,6,5,4,6,8,7,13,4,6,11,7,7,10,6,4,2,4,5,3,6,10,6,4,9,8,8,15,6,7,7,5,5,7,8,7,2,5,4,4,7,6,4,8,7,6,4,2,5,3,6,8,1,3
0.063,31,41,33,36,30,34,35,38,42,28,2,3,6,5,4,6,8,7,13,4,6,11,7,7,10,6,4,2,4,5,3,6,10,6,4,9,8,8,15,6,7,7,5,5,7,8,7,2,5,4,4,7,6,4,8,7,6,4,2,5,3,6,8,1,3
0.064,31,41,33,36,30,34,35,38,42,28,2,3,6,5,4,6,8,7,13,4,6,11,7,7,10,6,4,2,4,5,3,6,10,6,4,9,8,8,15,6,7,7,5,5,7,8,7,2,5,4,4,7,6,4,8,7,6,4,2,5,3,6,8,1,3
0.065,30,41,32,35,29,34,34,37,40,28,2,3,6,5,4,6,8,7,13,4,6,11,7,7,10,6,4,2,4,5,3,6,10,6,4,9,8,8,15,6,7,7,5,6,7,8,7,2,5,4,4,7,7,4,8,7,7,4,2,5,3,6,8,2,3
0.066,30,41,32,35,29,34,34,37,40,28,2,3,6,5,4,6,8,7,13,4,6,11,7,7,10,6,4,2,4,5,3,6,10,6,4,9,8,8,15,6,7,7,5,6,7,8,7,2,5,4,4,7,7,4,8,7,7,4,2,5,3,6,8,2,3
0.067,30,41,32,35,29,34,34,37,40,28,2,3,6,5,4,6,8,7,13,4,6,11,7,7,10,6,4,2,4,5,3,6,10,6,4,9,8,8,15,6,7,7,5,6,7,8,7,2,5,4,4,7,7,4,8,7,7,4,2,5,3,6,8,2,3
0.068,29,40,31,35,29,34,33,37,40,28,2,3,6,5,4,6,8,7,13,5,6,11,7,7,10,6,4,2,4,5,3,6,10,6,4,9,8,8,15,6,7,8,5,6,7,8,7,2,5,4,4,7,7,4,8,7,7,4,2,5,3,6,8,2,3
0.069,29,40,31,35,29,34,33,37,40,28,2,3,6,5,4,6,8,7,13,5,6,11,7,7,10,6,4,2,4,5,3,6,10,6,4,9,8,8,15,6,7,8,5,6,7,8,7,2,5,4,4,7,7,4,8,7,7,4,2,5,3,6,8,2,3
0.07,29,40,31,35,29,34,33,37,40,28,2,3,6,5,4,6,8,7,13,5,6,11,7,7,10,6,4,2,4,5,3,6,10,6,4,9,8,8,15,6,7,8,5,6,7,8,7,2,5,4,4,7,7,4,8,7,7,4,2,5,3,6,8,2,3
0.071,28,39,31,35,29,34,33,37,40,28,2,3,6,5,4,7,8,7,13,5,6,11,7,7,10,6,4,2,4,5,3,6,10,6,4,9,8,8,15,6,7,8,5,6,7,8,7,2,5,4,4,7,7,4,8,7,7,4,2,5,3,6,8,2,3
0.072,28,39,31,35,29,34,33,37,40,28,2,3,6,5,4,7,8,7,13,5,6,11,7,7,10,6,4,2,4,5,3,6,10,6,4,9,8,8,15,6,7,8,5,6,7,8,7,2,5,4,4,7,7,4,8,7,7,4,2,5,3,6,8,2,3
0.073,28,39,31,35,29,34,33,37,40,28,2,3,6,5,4,7,8,7,13,5,6,11,7,7,10,6,4,2,4,5,3,6,10,6,4,9,8,8,15,6,7,8,5,6,7,8,7,2,5,4,4,7,7,4,8,7,7,4,2,5,3,6,8,2,3
0.074,26,38,30,35,29,34,33,37,39,27,3,3,6,5,4,7,8,7,13,5,6,11,7,7,10,6,4,2,4,5,3,6,10,6,4,9,8,8,15,6,7,8,5,6,7,8,7,2,5,5,4,7,7,5,8,7,7,4,2,5,3,6,8,2,3
0.075,26,38,29,35,29,33,33,37,39,27,3,3,6,5,4,7,8,7,13,5,6,11,7,7,10,6,4,2,4,5,3,6,10,6,4,9,8,8,15,6,7,8,5,6,7,8,7,2,5,5,5,7,7,5,8,7,7,4,2,5,3,6,8,2,3
