16	gag: 8. 
343	gag: 2. 
3	gag: 14. 
208	gag: 1. 
100	gag: 4. 
70	gag: 3. 
21	gag: 5. 
15	gag: 7. 
5	gag: 12. 
9	gag: 10. 
34	gag: 6. 
11	gag: 9. 
3	gag: 15. 
5	gag: 13. 
1	gag: 20. 
3	gag: 11. 
Time (s): 0.017
14	gag: 8. 
334	gag: 2. 
1	gag: 18. 
198	gag: 1. 
89	gag: 4. 
20	gag: 5. 
15	gag: 7. 
6	gag: 12. 
69	gag: 3. 
45	gag: 6. 
7	gag: 10. 
11	gag: 9. 
3	gag: 15. 
4	gag: 13. 
1	gag: 28. 
4	gag: 14. 
4	gag: 11. 
Time (s): 0.0175
15	gag: 8. 
326	gag: 2. 
1	gag: 18. 
191	gag: 1. 
89	gag: 4. 
23	gag: 5. 
17	gag: 7. 
6	gag: 12. 
68	gag: 3. 
44	gag: 6. 
10	gag: 9. 
7	gag: 10. 
4	gag: 15. 
4	gag: 13. 
1	gag: 28. 
4	gag: 14. 
3	gag: 11. 
Time (s): 0.018
15	gag: 8. 
321	gag: 2. 
1	gag: 18. 
173	gag: 1. 
