TIME(s)	'A,A'	'A,B'	'B,B'	Nloops	nOverlapPartner	nOverlapSystem	nOverlapSpanBox	nDisplace2D	nDisplace3D	nDisplace3Dto2D	nAssocSuccess
0.264	108	179	110	219	218	2	0	0	0	0	181
0.265	108	179	110	219	220	2	0	0	0	0	181
0.266	108	179	110	219	221	2	0	0	0	0	181
0.267	108	179	110	219	221	2	0	0	0	0	181
0.268	108	179	110	219	221	2	0	0	0	0	181
0.269	108	179	110	219	221	2	0	0	0	0	181
0.27	108	179	110	219	223	2	0	0	0	0	181
0.271	108	179	110	219	223	2	0	0	0	0	181
0.272	108	179	110	219	223	2	0	0	0	0	181
0.273	108	179	110	219	223	2	0	0	0	0	181
0.274	108	179	110	219	223	2	0	0	0	0	181
0.275	108	179	110	219	225	2	0	0	0	0	181
0.276	108	179	110	219	227	2	0	0	0	0	181
0.277	108	179	110	219	228	2	0	0	0	0	181
0.278	108	179	110	219	228	2	0	0	0	0	181
0.279	108	179	110	219	229	2	0	0	0	0	181
0.28	108	179	110	219	229	2	0	0	0	0	181
0.281	108	179	110	219	229	2	0	0	0	0	181
0.282	108	179	110	219	229	2	0	0	0	0	181
0.283	108	185	112	226	230	2	0	0	0	0	182
0.284	108	185	112	226	231	2	0	0	0	0	182
0.285	108	185	112	226	231	2	0	0	0	0	182
0.286	108	185	112	226	236	2	0	0	0	0	182
0.287	108	185	112	226	236	2	0	0	0	0	182
0.288	108	185	112	226	236	2	0	0	0	0	182
0.289	108	185	112	226	236	2	0	0	0	0	182
0.29	108	185	112	226	236	2	0	0	0	0	182
0.291	108	185	112	226	239	2	0	0	0	0	182
0.292	108	185	112	226	239	2	0	0	0	0	182
0.293	108	185	112	226	239	2	0	0	0	0	182
0.294	108	185	112	226	239	2	0	0	0	0	182
0.295	108	185	112	226	239	2	0	0	0	0	182
0.296	108	185	112	226	239	2	0	0	0	0	182
0.297	108	185	112	226	240	2	0	0	0	0	182
0.298	108	185	112	226	241	2	0	0	0	0	182
0.299	108	185	112	226	242	2	0	0	0	0	182
0.3	108	185	112	226	242	2	0	0	0	0	182
0.301	108	185	112	226	242	2	0	0	0	0	182
0.302	108	185	112	226	242	2	0	0	0	0	182
0.303	108	185	112	226	242	2	0	0	0	0	182
0.304	108	185	112	226	242	2	0	0	0	0	182
0.305	108	185	112	226	248	2	0	0	0	0	182
0.306	108	185	112	226	249	2	0	0	0	0	182
0.307	108	185	112	226	251	2	0	0	0	0	182
0.308	108	185	112	226	251	2	0	0	0	0	182
0.309	108	185	112	226	252	2	0	0	0	0	182
0.31	108	185	112	226	252	2	0	0	0	0	182
0.311	108	185	112	226	252	2	0	0	0	0	182
0.312	108	185	112	226	253	2	0	0	0	0	182
0.313	108	185	112	226	255	2	0	0	0	0	182
0.314	108	185	112	226	255	2	0	0	0	0	182
0.315	108	185	112	226	255	2	0	0	0	0	182
0.316	108	185	112	226	257	2	0	0	0	0	182
0.317	108	185	112	226	257	2	0	0	0	0	182
0.318	108	185	112	226	257	2	0	0	0	0	182
0.319	108	185	112	226	257	2	0	0	0	0	182
0.32	108	185	112	226	257	2	0	0	0	0	182
0.321	108	185	112	226	257	2	0	0	0	0	182
0.322	108	185	112	226	257	2	0	0	0	0	182
0.323	108	185	112	226	257	2	0	0	0	0	182
0.324	108	185	112	226	258	2	0	0	0	0	182
0.325	108	185	112	226	258	2	0	0	0	0	182
0.326	108	185	112	226	258	2	0	0	0	0	182
0.327	108	185	112	226	260	2	0	0	0	0	182
0.328	108	185	112	226	260	2	0	0	0	0	182
0.329	108	185	112	226	260	2	0	0	0	0	182
0.33	108	185	112	226	260	2	0	0	0	0	182
0.331	108	185	112	226	261	2	0	0	0	0	182
0.332	108	185	112	226	262	2	0	0	0	0	182
0.333	108	185	112	226	262	2	0	0	0	0	182
0.334	108	185	112	226	262	2	0	0	0	0	182
0.335	108	185	112	226	264	2	0	0	0	0	182
0.336	108	185	112	226	265	2	0	0	0	0	182
0.337	108	185	112	226	266	2	0	0	0	0	182
0.338	108	185	112	226	267	2	0	0	0	0	182
0.339	108	185	112	226	267	2	0	0	0	0	182
0.34	108	185	112	226	269	2	0	0	0	0	182
0.341	108	185	112	226	270	2	0	0	0	0	182
0.342	108	185	112	226	273	2	0	0	0	0	182
0.343	108	185	112	226	273	2	0	0	0	0	182
0.344	108	185	112	226	274	2	0	0	0	0	182
0.345	108	185	112	226	274	2	0	0	0	0	182
0.346	108	185	112	226	274	2	0	0	0	0	182
0.347	108	185	112	226	277	2	0	0	0	0	182
0.348	108	185	112	226	277	2	0	0	0	0	182
0.349	108	185	112	226	278	2	0	0	0	0	182
0.35	108	185	112	226	278	2	0	0	0	0	182
0.351	108	185	112	226	281	2	0	0	0	0	182
0.352	108	185	112	226	282	2	0	0	0	0	182
0.353	108	185	112	226	283	2	0	0	0	0	182
0.354	108	185	112	226	284	2	0	0	0	0	182
0.355	108	185	112	226	285	2	0	0	0	0	182
0.356	108	185	112	226	285	2	0	0	0	0	182
0.357	108	185	112	226	285	2	0	0	0	0	182
0.358	108	185	112	226	286	2	0	0	0	0	182
0.359	108	185	112	226	286	2	0	0	0	0	182
0.36	108	185	112	226	286	2	0	0	0	0	182
0.361	108	185	112	226	288	2	0	0	0	0	182
0.362	108	185	112	226	288	2	0	0	0	0	182
0.363	108	185	112	226	288	2	0	0	0	0	182
0.364	108	185	112	226	288	2	0	0	0	0	182
0.365	108	185	112	226	288	2	0	0	0	0	182
