Time (s),ap2Mem,leg
15.135,162,7
15.15,161,7
15.165,160,7
15.18,160,9
15.195,163,10
15.21,161,9
15.225,159,10
15.24,156,13
15.255,159,12
15.27,158,10
15.285,158,7
15.3,158,7
15.315,164,8
15.33,163,8
15.345,162,10
15.36,159,12
15.375,159,10
15.39,160,10
15.405,156,10
15.42,156,14
15.435,160,13
15.45,159,14
15.465,159,11
15.48,158,11
15.495,158,11
15.51,155,9
15.525,158,8
15.54,160,10
15.555,158,10
15.57,161,11
15.585,161,13
15.6,162,13
15.615,163,13
15.63,163,11
15.645,166,11
15.66,166,12
15.675,162,11
15.69,162,11
15.705,164,11
15.72,163,14
15.735,162,13
15.75,164,12
15.765,165,11
15.78,165,10
15.795,164,11
15.81,164,11
15.825,161,10
15.84,164,10
15.855,163,10
15.87,162,11
15.885,163,10
15.9,162,8
15.915,162,5
15.93,162,5
15.945,162,7
15.96,159,7
15.975,161,8
15.99,161,9
16.005,163,11
16.02,162,12
16.035,163,12
16.05,164,11
16.065,164,13
16.08,161,12
16.095,164,9
16.11,166,12
16.125,166,13
16.14,167,15
16.155,167,15
16.17,167,15
16.185,164,15
16.2,162,16
16.215,165,15
16.23,164,14
16.245,163,14
16.26,164,17
16.275,167,18
16.29,167,16
16.305,165,13
16.32,165,13
16.335,164,11
16.35,162,12
16.365,161,12
16.38,162,10
16.395,161,10
16.41,159,11
16.425,155,13
16.44,156,12
16.455,157,12
16.47,155,11
16.485,154,12
16.5,156,15
16.515,156,16
16.53,158,17
16.545,160,18
16.56,160,17
16.575,162,18
16.59,162,16
16.605,163,15
16.62,161,14
16.635,159,15
16.65,158,14
16.665,160,16
16.68,158,18
16.695,161,19
16.71,159,18
16.725,161,17
16.74,160,14
16.755,160,14
16.77,160,15
16.785,160,15
16.8,157,14
16.815,159,13
16.83,162,14
16.845,163,14
16.86,162,10
16.875,164,10
16.89,165,12
16.905,165,12
16.92,163,11
16.935,162,12
16.95,160,12
16.965,162,9
16.98,162,9
16.995,162,8
17.01,160,9
17.025,162,9
17.04,164,11
17.055,163,13
17.07,163,11
17.085,164,10
17.1,164,12
17.115,164,14
17.13,164,16
17.145,164,16
17.16,166,16
17.175,166,13
17.19,165,12
17.205,165,13
17.22,165,12
17.235,167,11
17.25,169,13
