Time (s),A(lg1),A(lg2),A(lg3),A(lg4),A(lg5),B(lg1),B(lg2),B(lg3),B(lg4),B(lg5),A(lg1!1).A(lg1!1),A(lg2!1).A(lg2!1),A(lg3!1).A(lg3!1),A(lg4!1).A(lg4!1),A(lg5!1).A(lg5!1),A(lg1!1).A(lg2!1),A(lg1!1).A(lg3!1),A(lg1!1).A(lg4!1),A(lg1!1).A(lg5!1),A(lg2!1).A(lg3!1),A(lg2!1).A(lg4!1),A(lg2!1).A(lg5!1),A(lg3!1).A(lg4!1),A(lg3!1).A(lg5!1),A(lg4!1).A(lg5!1),B(lg1!1).B(lg1!1),B(lg2!1).B(lg2!1),B(lg3!1).B(lg3!1),B(lg4!1).B(lg4!1),B(lg5!1).B(lg5!1),B(lg1!1).B(lg2!1),B(lg1!1).B(lg3!1),B(lg1!1).B(lg4!1),B(lg1!1).B(lg5!1),B(lg2!1).B(lg3!1),B(lg2!1).B(lg4!1),B(lg2!1).B(lg5!1),B(lg3!1).B(lg4!1),B(lg3!1).B(lg5!1),B(lg4!1).B(lg5!1),A(lg1!1).B(lg1!1),A(lg1!1).B(lg2!1),A(lg1!1).B(lg3!1),A(lg1!1).B(lg4!1),A(lg1!1).B(lg5!1),A(lg2!1).B(lg1!1),A(lg2!1).B(lg2!1),A(lg2!1).B(lg3!1),A(lg2!1).B(lg4!1),A(lg2!1).B(lg5!1),A(lg3!1).B(lg1!1),A(lg3!1).B(lg2!1),A(lg3!1).B(lg3!1),A(lg3!1).B(lg4!1),A(lg3!1).B(lg5!1),A(lg4!1).B(lg1!1),A(lg4!1).B(lg2!1),A(lg4!1).B(lg3!1),A(lg4!1).B(lg4!1),A(lg4!1).B(lg5!1),A(lg5!1).B(lg1!1),A(lg5!1).B(lg2!1),A(lg5!1).B(lg3!1),A(lg5!1).B(lg4!1),A(lg5!1).B(lg5!1)
0.051,19,36,32,23,31,25,31,35,28,28,7,3,5,4,4,7,6,13,15,7,8,11,9,7,6,6,0,3,5,7,12,7,17,8,9,4,10,6,6,9,3,6,8,4,5,2,8,6,6,3,3,8,7,5,6,6,6,7,7,7,5,6,3,4,4
0.052,19,36,32,23,31,25,31,35,28,28,7,3,5,4,4,7,6,13,15,7,8,11,9,7,6,6,0,3,5,7,12,7,17,8,9,4,10,6,6,9,3,6,8,4,5,2,8,6,6,3,3,8,7,5,6,6,6,7,7,7,5,6,3,4,4
0.053,15,35,32,23,31,25,31,35,27,28,8,3,5,4,4,8,6,13,15,7,8,11,9,7,6,6,0,3,5,7,12,7,17,8,9,4,10,6,6,9,3,6,8,5,5,2,8,6,6,3,3,8,7,5,6,6,6,7,7,7,5,6,3,4,4
0.054,15,35,32,23,31,25,31,35,27,28,8,3,5,4,4,8,6,13,15,7,8,11,9,7,6,6,0,3,5,7,12,7,17,8,9,4,10,6,6,9,3,6,8,5,5,2,8,6,6,3,3,8,7,5,6,6,6,7,7,7,5,6,3,4,4
0.055,14,33,31,22,30,25,31,35,27,28,8,3,5,4,4,9,6,13,15,7,8,12,10,7,6,6,0,3,5,7,12,7,17,8,9,4,10,6,6,9,3,6,8,5,5,2,8,6,6,3,3,8,7,5,6,6,6,7,7,7,5,6,3,4,4
0.056,14,33,31,22,30,25,31,35,27,28,8,3,5,4,4,9,6,13,15,7,8,12,10,7,6,6,0,3,5,7,12,7,17,8,9,4,10,6,6,9,3,6,8,5,5,2,8,6,6,3,3,8,7,5,6,6,6,7,7,7,5,6,3,4,4
0.057,14,33,31,22,30,25,31,35,27,28,8,3,5,4,4,9,6,13,15,7,8,12,10,7,6,6,0,3,5,7,12,7,17,8,9,4,10,6,6,9,3,6,8,5,5,2,8,6,6,3,3,8,7,5,6,6,6,7,7,7,5,6,3,4,4
0.058,14,33,31,22,30,25,31,35,27,28,8,3,5,4,4,9,6,13,15,7,8,12,10,7,6,6,0,3,5,7,12,7,17,8,9,4,10,6,6,9,3,6,8,5,5,2,8,6,6,3,3,8,7,5,6,6,6,7,7,7,5,6,3,4,4
0.059,14,33,31,22,30,25,31,35,27,28,8,3,5,4,4,9,6,13,15,7,8,12,10,7,6,6,0,3,5,7,12,7,17,8,9,4,10,6,6,9,3,6,8,5,5,2,8,6,6,3,3,8,7,5,6,6,6,7,7,7,5,6,3,4,4
0.06,14,33,31,22,30,25,31,35,27,28,8,3,5,4,4,9,6,13,15,7,8,12,10,7,6,6,0,3,5,7,12,7,17,8,9,4,10,6,6,9,3,6,8,5,5,2,8,6,6,3,3,8,7,5,6,6,6,7,7,7,5,6,3,4,4
0.061,14,33,31,22,30,25,31,35,27,28,8,3,5,4,4,9,6,13,15,7,8,12,10,7,6,6,0,3,5,7,12,7,17,8,9,4,10,6,6,9,3,6,8,5,5,2,8,6,6,3,3,8,7,5,6,6,6,7,7,7,5,6,3,4,4
0.062,14,33,31,22,30,25,31,35,27,28,8,3,5,4,4,9,6,13,15,7,8,12,10,7,6,6,0,3,5,7,12,7,17,8,9,4,10,6,6,9,3,6,8,5,5,2,8,6,6,3,3,8,7,5,6,6,6,7,7,7,5,6,3,4,4
0.063,14,33,31,22,30,25,31,35,27,28,8,3,5,4,4,9,6,13,15,7,8,12,10,7,6,6,0,3,5,7,12,7,17,8,9,4,10,6,6,9,3,6,8,5,5,2,8,6,6,3,3,8,7,5,6,6,6,7,7,7,5,6,3,4,4
0.064,14,33,31,22,30,25,31,35,27,28,8,3,5,4,4,9,6,13,15,7,8,12,10,7,6,6,0,3,5,7,12,7,17,8,9,4,10,6,6,9,3,6,8,5,5,2,8,6,6,3,3,8,7,5,6,6,6,7,7,7,5,6,3,4,4
0.065,14,33,31,22,30,25,31,35,27,28,8,3,5,4,4,9,6,13,15,7,8,12,10,7,6,6,0,3,5,7,12,7,17,8,9,4,10,6,6,9,3,6,8,5,5,2,8,6,6,3,3,8,7,5,6,6,6,7,7,7,5,6,3,4,4
