Time (s): 0
157	B: 1. IL: 1. 
43	B: 1. 
Time (s): 0.00512
343	IL: 1. 
157	B: 1. IL: 1. 
43	B: 1. 
Time (s): 0.00514
344	IL: 1. 
156	B: 1. IL: 1. 
44	B: 1. 
Time (s): 0.00516
344	IL: 1. 
156	B: 1. IL: 1. 
44	B: 1. 
Time (s): 0.00518
344	IL: 1. 
156	B: 1. IL: 1. 
44	B: 1. 
Time (s): 0.0052
343	IL: 1. 
157	B: 1. IL: 1. 
43	B: 1. 
Time (s): 0.00522
344	IL: 1. 
156	B: 1. IL: 1. 
44	B: 1. 
Time (s): 0.00524
346	IL: 1. 
154	B: 1. IL: 1. 
46	B: 1. 
Time (s): 0.00526
344	IL: 1. 
156	B: 1. IL: 1. 
44	B: 1. 
Time (s): 0.00528
345	IL: 1. 
155	B: 1. IL: 1. 
45	B: 1. 
Time (s): 0.0053
344	IL: 1. 
156	B: 1. IL: 1. 
44	B: 1. 
Time (s): 0.00532
344	IL: 1. 
156	B: 1. IL: 1. 
44	B: 1. 
Time (s): 0.00534
345	IL: 1. 
155	B: 1. IL: 1. 
45	B: 1. 
Time (s): 0.00536
345	IL: 1. 
155	B: 1. IL: 1. 
45	B: 1. 
Time (s): 0.00538
346	IL: 1. 
154	B: 1. IL: 1. 
46	B: 1. 
Time (s): 0.0054
342	IL: 1. 
158	B: 1. IL: 1. 
42	B: 1. 
Time (s): 0.00542
341	IL: 1. 
159	B: 1. IL: 1. 
41	B: 1. 
Time (s): 0.00544
340	IL: 1. 
160	B: 1. IL: 1. 
40	B: 1. 
Time (s): 0.00546
340	IL: 1. 
160	B: 1. IL: 1. 
40	B: 1. 
Time (s): 0.00548
338	IL: 1. 
162	B: 1. IL: 1. 
38	B: 1. 
Time (s): 0.0055
336	IL: 1. 
164	B: 1. IL: 1. 
36	B: 1. 
Time (s): 0.00552
337	IL: 1. 
163	B: 1. IL: 1. 
37	B: 1. 
Time (s): 0.00554
338	IL: 1. 
162	B: 1. IL: 1. 
38	B: 1. 
Time (s): 0.00556
339	IL: 1. 
161	B: 1. IL: 1. 
39	B: 1. 
Time (s): 0.00558
338	IL: 1. 
162	B: 1. IL: 1. 
38	B: 1. 
Time (s): 0.0056
340	IL: 1. 
160	B: 1. IL: 1. 
40	B: 1. 
Time (s): 0.00562
339	IL: 1. 
161	B: 1. IL: 1. 
39	B: 1. 
Time (s): 0.00564
340	IL: 1. 
160	B: 1. IL: 1. 
40	B: 1. 
Time (s): 0.00566
342	IL: 1. 
158	B: 1. IL: 1. 
42	B: 1. 
Time (s): 0.00568
342	IL: 1. 
158	B: 1. IL: 1. 
42	B: 1. 
Time (s): 0.0057
344	IL: 1. 
156	B: 1. IL: 1. 
44	B: 1. 
Time (s): 0.00572
344	IL: 1. 
156	B: 1. IL: 1. 
44	B: 1. 
Time (s): 0.00574
343	IL: 1. 
157	B: 1. IL: 1. 
43	B: 1. 
Time (s): 0.00576
343	IL: 1. 
157	B: 1. IL: 1. 
43	B: 1. 
Time (s): 0.00578
343	IL: 1. 
157	B: 1. IL: 1. 
43	B: 1. 
Time (s): 0.0058
344	IL: 1. 
156	B: 1. IL: 1. 
44	B: 1. 
Time (s): 0.00582
342	IL: 1. 
158	B: 1. IL: 1. 
42	B: 1. 
Time (s): 0.00584
345	IL: 1. 
155	B: 1. IL: 1. 
45	B: 1. 
Time (s): 0.00586
344	IL: 1. 
156	B: 1. IL: 1. 
44	B: 1. 
Time (s): 0.00588
343	IL: 1. 
157	B: 1. IL: 1. 
43	B: 1. 
Time (s): 0.0059
341	IL: 1. 
159	B: 1. IL: 1. 
41	B: 1. 
Time (s): 0.00592
341	IL: 1. 
159	B: 1. IL: 1. 
41	B: 1. 
Time (s): 0.00594
340	IL: 1. 
160	B: 1. IL: 1. 
40	B: 1. 
Time (s): 0.00596
343	IL: 1. 
157	B: 1. IL: 1. 
43	B: 1. 
Time (s): 0.00598
347	IL: 1. 
153	B: 1. IL: 1. 
47	B: 1. 
Time (s): 0.006
348	IL: 1. 
48	B: 1. 
152	B: 1. IL: 1. 
Time (s): 0.00602
345	IL: 1. 
155	B: 1. IL: 1. 
45	B: 1. 
Time (s): 0.00604
345	IL: 1. 
155	B: 1. IL: 1. 
45	B: 1. 
Time (s): 0.00606
347	IL: 1. 
153	B: 1. IL: 1. 
47	B: 1. 
Time (s): 0.00608
344	IL: 1. 
156	B: 1. IL: 1. 
44	B: 1. 
Time (s): 0.0061
345	IL: 1. 
155	B: 1. IL: 1. 
45	B: 1. 
Time (s): 0.00612
345	IL: 1. 
155	B: 1. IL: 1. 
45	B: 1. 
Time (s): 0.00614
344	IL: 1. 
156	B: 1. IL: 1. 
44	B: 1. 
Time (s): 0.00616
343	IL: 1. 
157	B: 1. IL: 1. 
